2013-07-08 21:12:27 [INFO] [ForgeModLoader] Forge Mod Loader version 4.7.35.556 for Minecraft 1.4.7 loading
2013-07-08 21:12:27 [FINEST] [ForgeModLoader] All core mods are successfully located
2013-07-08 21:12:27 [FINEST] [ForgeModLoader] Discovering coremods
2013-07-08 21:12:27 [FINEST] [ForgeModLoader] Found library file argo-2.25.jar present and correct in lib dir
2013-07-08 21:12:27 [FINEST] [ForgeModLoader] Found library file guava-12.0.1.jar present and correct in lib dir
2013-07-08 21:12:27 [FINEST] [ForgeModLoader] Found library file asm-all-4.0.jar present and correct in lib dir
2013-07-08 21:12:28 [FINEST] [ForgeModLoader] Found library file bcprov-jdk15on-147.jar present and correct in lib dir
2013-07-08 21:12:28 [FINEST] [ForgeModLoader] Running coremod plugins
2013-07-08 21:12:28 [FINEST] [ForgeModLoader] Running coremod plugin FMLCorePlugin
2013-07-08 21:12:28 [FINEST] [ForgeModLoader] Coremod plugin FMLCorePlugin run successfully
2013-07-08 21:12:28 [FINEST] [ForgeModLoader] Running coremod plugin FMLForgePlugin
2013-07-08 21:12:28 [FINEST] [ForgeModLoader] Coremod plugin FMLForgePlugin run successfully
2013-07-08 21:12:28 [FINEST] [ForgeModLoader] Validating minecraft
2013-07-08 21:12:28 [FINEST] [ForgeModLoader] Minecraft validated, launching...
2013-07-08 21:12:34 [INFO] [STDERR] java.lang.reflect.InvocationTargetException
2013-07-08 21:12:34 [INFO] [STDERR] 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2013-07-08 21:12:34 [INFO] [STDERR] 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
2013-07-08 21:12:34 [INFO] [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2013-07-08 21:12:34 [INFO] [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:606)
2013-07-08 21:12:34 [INFO] [STDERR] 	at cpw.mods.fml.relauncher.FMLRelauncher.relaunchClient(FMLRelauncher.java:111)
2013-07-08 21:12:34 [INFO] [STDERR] 	at cpw.mods.fml.relauncher.FMLRelauncher.handleClientRelaunch(FMLRelauncher.java:26)
2013-07-08 21:12:34 [INFO] [STDERR] 	at net.minecraft.client.Minecraft.main(Minecraft.java:2243)
2013-07-08 21:12:34 [INFO] [STDERR] 	at Start.main(Start.java:29)
2013-07-08 21:12:34 [INFO] [STDERR] Caused by: java.lang.UnsatisfiedLinkError: no lwjgl in java.library.path
2013-07-08 21:12:34 [INFO] [STDERR] 	at java.lang.ClassLoader.loadLibrary(ClassLoader.java:1878)
2013-07-08 21:12:34 [INFO] [STDERR] 	at java.lang.Runtime.loadLibrary0(Runtime.java:849)
2013-07-08 21:12:34 [INFO] [STDERR] 	at java.lang.System.loadLibrary(System.java:1087)
2013-07-08 21:12:34 [INFO] [STDERR] 	at org.lwjgl.Sys$1.run(Sys.java:72)
2013-07-08 21:12:34 [INFO] [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2013-07-08 21:12:34 [INFO] [STDERR] 	at org.lwjgl.Sys.doLoadLibrary(Sys.java:65)
2013-07-08 21:12:34 [INFO] [STDERR] 	at org.lwjgl.Sys.loadLibrary(Sys.java:81)
2013-07-08 21:12:34 [INFO] [STDERR] 	at org.lwjgl.Sys.<clinit>(Sys.java:98)
2013-07-08 21:12:34 [INFO] [STDERR] 	at net.minecraft.client.Minecraft.getSystemTime(Minecraft.java:2564)
2013-07-08 21:12:34 [INFO] [STDERR] 	at net.minecraft.client.Minecraft.fmlReentry(Minecraft.java:2253)
2013-07-08 21:12:34 [INFO] [STDERR] 	... 8 more
